scenario,year,region,del K(materials) Share,del Labor Share,del E (energy service) Share,del Net Energy Export,del GDP,unit
SSP2|NoRusX less SSP2,2030,Africa_Eastern,-0.107,-0.201,-0.978,0.633,-0.654,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Africa_Northern,1.395,1.234,6.197,35.193,44.019,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Africa_Southern,-0.003,-0.003,-0.006,3.983,3.972,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Africa_Western,1.661,2.321,7.404,50.773,62.159,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Argentina,0.011,0.018,0.034,2.278,2.341,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Australia_NZ,0.029,0.112,0.237,12.122,12.499,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Brazil,-0.086,-0.122,-0.219,2.059,1.633,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Canada,0.236,1.108,1.806,73.398,76.548,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Central America and Caribbean,-0.112,-0.089,-0.264,0.102,-0.362,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Central Asia,0.188,0.743,3.464,18.609,23.004,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,China,-1.859,-4.159,-7.908,6.447,-7.478,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Colombia,0.026,0.050,0.108,5.374,5.557,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,EU-12,-0.369,-0.644,-1.413,4.689,2.263,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,EU-15,-2.243,-4.288,-8.543,1.702,-13.372,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Europe_Eastern,0.058,0.540,1.671,8.096,10.365,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Europe_Non_EU,-0.515,-0.537,-1.362,-1.615,-4.030,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,European Free Trade Association,-0.079,-0.275,-0.519,10.933,10.060,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,India,-0.819,-1.234,-3.107,1.370,-3.789,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Indonesia,0.112,0.127,0.269,24.605,25.113,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Japan,-1.632,-4.161,-9.557,-4.313,-19.663,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Mexico,-0.030,-0.028,-0.089,13.117,12.970,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Middle East,0.302,0.458,1.817,50.441,53.017,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Pakistan,0.000,-0.240,-0.846,0.306,-0.781,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Russia,-0.696,-8.680,-15.467,-402.357,-427.200,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,South Africa,-0.012,-0.017,-0.040,3.544,3.475,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,South America_Northern,-0.054,-0.425,-0.958,65.278,63.841,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,South America_Southern,-0.080,-0.131,-0.317,2.462,1.934,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,South Asia,-0.308,-0.205,-4.267,0.452,-4.329,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,South Korea,-0.549,-0.947,-2.425,-3.978,-7.900,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Southeast Asia,-1.648,-1.111,-5.200,-0.287,-8.245,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,Taiwan,-0.117,-0.319,-0.600,-1.519,-2.555,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,USA,-1.141,-3.357,-6.849,16.103,4.756,Billions 2015 US$
SSP2|NoRusX less SSP2,2030,GLOBAL,-8.440,-24.462,-47.928,-0.001,-80.831,Billions 2015 US$
SSP2|NoRusX less SSP2,2050,Africa_Eastern,-0.438369796,-1.822573398,-5.334932844,0.374134525,-7.221741513,Billions 2015 US$
SSP2|NoRusX less SSP2,2050,Africa_Northern,9.254954223,20.97807593,16.78244902,26.28278628,73.29826545,Billions 2015 US$
SSP2|NoRusX less SSP2,2050,Africa_Southern,2.034898454,3.7128562,0.392535861,3.60304675,9.743337265,Billions 2015 US$
SSP2|NoRusX less SSP2,2050,Africa_Western,2.643218246,16.90997423,5.925823945,6.363732899,31.84274933,Billions 2015 US$
SSP2|NoRusX less SSP2,2050,Argentina,0.253563019,1.251549385,0.193826095,3.619177199,5.318115697,Billions 2015 US$
SSP2|NoRusX less SSP2,2050,Australia_NZ,0.159954702,1.745390889,2.262644292,26.30592355,30.47391343,Billions 2015 US$
SSP2|NoRusX less SSP2,2050,Brazil,0.367866459,1.546998657,-0.109829405,5.082486246,6.887521956,Billions 2015 US$
SSP2|NoRusX less SSP2,2050,Canada,-1.035315182,14.22342355,2.335192537,43.97721609,59.50051699,Billions 2015 US$
SSP2|NoRusX less SSP2,2050,Central America and Caribbean,-0.115730718,-0.170459775,-0.097789677,2.27532865,1.89134848,Billions 2015 US$
SSP2|NoRusX less SSP2,2050,Central Asia,-0.111297405,4.120697595,8.056434619,36.72983651,48.79567132,Billions 2015 US$
SSP2|NoRusX less SSP2,2050,China,-3.087861212,-19.22356913,-16.25068077,14.89974336,-23.66236776,Billions 2015 US$
SSP2|NoRusX less SSP2,2050,Colombia,0.258675311,2.366809994,0.618654852,6.741149306,9.985289463,Billions 2015 US$
SSP2|NoRusX less SSP2,2050,EU-12,-0.671260711,-2.644375241,-2.312791331,5.112679558,-0.515747724,Billions 2015 US$
SSP2|NoRusX less SSP2,2050,EU-15,-3.023802489,-13.243417,-7.854611722,21.45202037,-2.669810842,Billions 2015 US$
SSP2|NoRusX less SSP2,2050,Europe_Eastern,-0.131728831,1.007323999,1.195546064,10.74045046,12.8115917,Billions 2015 US$
